name,lyrics
"Guli Mata","Jagi hu, Na soi hu Khayalon mein tere, khoi hu Jagi hu, Na soi hu Khayalon mein tere, khoi hu Guli mata nchoufek ana mata Ayane shog – narou hayja f galbi ayayay Kendeer ana nkhebi hobek Hali mefduh yana melli bia ayayayayay Izhaar hua, Humey bhi pyaar hua Mulaaqaat ki hai, ghadi ab aayi aayi aayi Neend me bhi, labo pe naam tera Banke mai rahu, teri parchaai, aayi aayi aayi"
"Marana Mass - From 'Petta'","Thatlaattam thaanga Tharlaanga songa Ullara vanthaakka Naan pollaatha vaenga. Thatlaattam thaanga Tharlaanga songa Ullara vanthaakka Naan pollaatha vaenga. Thimiraama vaanga Bulpaaidum veenga Morappoda nippaanaa Muttaama ponga. Geththa nadathu varraan Gate-ai ellaam kadanthu varraan Tha vediya onnu Podu dhillaala.. Sleeva surutti varraan Collara than peratti varraan Mudiyala siluppi vittaa Yerum ullaara .. Maranam Massu maranam Toughu tharanum Adhukku avanthaan Porandhu varanum"
"Kaavaalaa","Raa yaen raavellam laang aavudhey Robbery-ku raa ve raa ve Raa nee paathale theeyaavudhey Thee pidikka ravaiyya ve Machhatha Moracha Achatha korachha Ichhatha marachhaa Michham illamaa Machhame nuvvaiya Achamey ledhaiyya Ichhame nenaiya Micham yemaiyya Vaa nu kaavalaiiya Nu kaavala Ra ra ra ra ra ra ra ra Vaa nu kaavalaiyya Nu kaavala Ra ra ra ra ra ra ra ra Pathhika vekkum bodhaiyya Yeppa yeppappa Kannukula nee seidhi sollen pa Sikkika vekkum aasaiyya Vandhaye yappa"
"Yaanji - From 'Vikram Vedha'","Yaanji Yaanji En Nenjil Vandhu Vandhu Nikkura Yaen Yaen Yaen Enna Saanji Saanji Nee Paarthu Unna Sikka Veikura Kanavinil Mulaikiraai Imai Anaikkayil Naan Vinavena Valaigiraen Unai Ninaikiyil Oh Nenjaathiyae Nenjaathiyae Needhanadi En Vaazhkaiye Oh Oh Nee Enbadhey Naan Engira Neeyae Oh Nenjaathiyae Nenjaathiyae Needhanadi En Vaazhkaiye Oh Oh Nee Enbadhey Naan Engira Neeyae Naanji Menmaiyaai Mella Nagarum Yenthan Naatkurippil Vanmayaai Nee Vandhu Serum Maayam Enna"
"Pathala Pathala (From 'Vikram')","Pathala Pathala Kuttiyum pathala Puttiyum pathala Mathalam adra dai Sutha mathalam adra dai… Adra.. Kuthura gummang kuthula gomma Petha pulla nee sethuruva da dai Nee udhaar udathey..Mavaney.. Ivan utthalakadi Johnu Idhu mudichamikki premu Onna number sokka thirudi Bladeu pakkari maame Adhu sarakku adikkum somu Ivan sundi soru seenu Vella powder koadu Pottu Mookurinjum teamu Dai..Patti tinkering seiyaadha Ketta pombalaiya nambi Yemaandhu pudaadhe Dhaaraandhu pudaadhe"
"Hayyoda (From 'Jawan')","Male : Kaathellam kaadhal aagum Kaalamae ninnu oodum oohhhh.. Pakkama neeyum naanum Appadhaan vaazha thonum oh..hoo.. Male : Onna paartha kannu ooruthae Kandam aaguthae Buthi maariyae saththam poduthae oh..hoo.. Ne thottu pesa Koochamaguthae moochu vaanguthae Kaalu un vahzi pogalangunthaey.. oh..hoo.. Male and Chorus : Ulaara hayooda Ava partha parvai meiyooda Avalooda bodhai thannalae… eruthaee Thalli poi uyir aaduthae Hayooda ava partha parvai meiyooda Avalooda bodhai thannalae"
"Saibo","Mann yeh sahib ji Jaane he saab ji Phir bhi banaye bahaane Naina nawabi ji Dekhe hain saab ji Phir bhi na samjhe ishare Mann yeh sahib ji haa karta bahaane Naina nawabi ji na samjhe ishare Dheere dheere, nainon ko dheere dheere Jiya ko dheere dheere, bhaayo re Saibo... Dheere dheere, begaana dheere dheere Apna sa dheere dheere, laage re Saibo... Surkhiyan hai hawaon mein Do dilon ki milne ki Ho ho Arziyan hai nazaron mein Lamha yeh tham jane ki Ho..Kaise huzur ji yeh lab dikhlaye Chuppi lage ke bhi gazab hai yeh dhaye"
"Don\'u Don\'u Don\'u (From 'Maari') - The Don\'s Romance","Donu donu donu Naan unnoda gold meenu Scene-u scene-u scene-u Nee thottathellam scene-u Maanu maanu maanu Naan unnoda caffeine-u Gone-u gone-u gone-u Nee paathale naan gone-u Gundaana kannala kuthama kuthadha Nee onna thandhalum pathaadha di Roja poo dhegathaal Raja naan saanjitten Un munne en gethu nikkadhadi Urugudhe undhan aanmai paarthu Mayangudhe indha paavai thaan Thavikkudhe ellai thaandi paarka Thadukkudhe pen naanam thaan Urugudhey.... Mayangudhey.... Thavikudhe..."
"Badass","Badass! Mr. Leo Das Is A Badass! He's A Freaking Badass! Singam Yeranguna Kaattukke Virundhu Ivan Vettaikku Setharanum Bhayandhu Perumpulikkellam Mutripulli Ezhudhi Kodal Uruvura Sambavam Urudhi Idhu Varayila Nallavan Irundhan Badass! Mr. Leo Das Is A Badass Indha Kadhayila Ratchasa Mugham Dhaan Ha Ha Haa! Vathikuchi Ila Yerimala Maavane Nerungaadha Nee Kolasaamiya Vendikko Maame Moraikkaadha Nee Badass-u Maaa! Orasaama Odidu Badass-u Maaa! Un Vaala Suruttidu Badass-u Maaa! Leo Das-u Maa Badass-u Maaa! Orasaama Odidu"
"Main Agar Kahoon","Tumko Paya Hai To Jaise Khoya Hoon Kehna Chahoon Bhi To Tumse Kya Kahon Tumko Paya Hai To Jaise Khoya Hoon Kehna Chahoon Bhi To Tumse Kya Kahon Kisi Zubaan Mein Bhi Woh Labaz Hi Nahi Ki Jeen Mein Tum Ho Kya Tumhe Bata Sakun Main Aagar Kahoon Tumsa Haseen Kaynaat Mein Nahi Hai Kahin Tareef Yeh Bhi To Sach Hai Kuch Bhi Nahi Tumko Paya Hai To Jaise Khoya Hoon.. Shokhiyon Mein Dooobi Yeh Aadayein Chehre Se Jhalki Hui Hain Zulf Ki Ghani Ghani Ghatayein Shaan Se Dhalki Hui Hain Lehrata Aanchal Hai Jaise Badal Bhaahon Mein Bhari Hai Jaise Chandni Roop Ki Chandni"
"Ordinary Person (From 'Leo')","S1: My Life is in this Town , And I Ain’t Going Down, You Think That I’m CRAAAZY, But I Don’t Want The Crown. S2: My Life is in this Town , And I Ain’t Going Down, You Think That I’m CRAAAZY, But I Don’t Want The Crown. S1: I'm Just An Ordinary Person, Yeah.. , Just A Peace Loving Soul. Ohh..hoo... S2: I'm Just an Ordinary Person, Yeah , Just A Peace Loving Soul. Peace Loving Soul... S1: My Life Is In This Town , Yeah... S2: My Life Is In This Town , And I Ain’t Going Down, You Think That I’m CRAAAZY, But I Don’t Want The Crown. S1: My Life Is In This Town , And I Ain’t Going Down, You Think That I’m CRAAAZY, But I Don’t Want The Crown."
"Arabic Kuthu - Halamithi Habibo (From 'Beast')","Malama pitha pithaadhe Malama pitha pithaadhe Mala pitha pithaadhe Malama pithaadhe Malama pitha pithaadhe Malama pitha pithaadhe Mala pitha pithaadhe Malama pithaadhe Holi Holi Pakathula sirikum rangoli Jolly jolly vekkathula mayangura doli Gaali gaali mothathula avanunthaan gaali Jolly jolly AdiPoli Halamithi habibo Halamithi mithi vandhaaley Halamithi habibo Halamithi mithi vandha Halamithi habibo Halamithi mithi vandhaaley Halamithi habibo Halamithi habibo... Oh cutie Nee Sweety Un beauty adhil Maatti Na mellama Mellama gaali Adha sollala sollala podi Mothovaati padam kaati Enna vaati kanna kaati Love-a Konjama Konjama yethi Enna senjutta senjutta oruthi..."
"Anbe En Anbe","Anbae En Anbae Un Vizhi Paarka Ithanai Naalai Thavithaen Kannave Kannave Kan Urangamal Ullagam Muzhuthai Maranthaen Kannil Sudum Veyil Kaalam Un Nenjil Kulir Pani Kaalam Andril Aadai Mazhai Kaalam Ini Aruginil Vasapadum Sugam Sugam Nee Nee Oru Nathi Aalai Aanai Naan Naan Athil Vizhum Illai Aanen Unthan Madiyinil Mithanthiduvaeno Unthan Karai Thoda Pizhaithiduvaeno oo Mazhaiyinile Pirakum Nathi Kadalinilae Kalakkum Manathinilae Irupathellam Mounathilae Kalakkum"
"Thaarame Thaarame","eredhuvum thevai illai, nee mattum podhum Kannil veithu kaathirupaen Ennavanaalum..mmm.. UnEdhiril naan irukum ovvoru naalum Uchi mudhal paadham varai veesudhu vaasam... Dhinamum Ayiram murai Paarthu mudithaaluM Innum paarthida solli paazhum manam Yengum Tharame Tharame Vaa Vaazhvin vaasame vaasame Nee..Dhaane Tharame Tharame Vaa Endhan Swasame swasame nee Uyire..Vaa.. Melum keezhum aadum undhan mayaKannale Maruvedum podudhu en Natkal Thannaaley Aayul Regai muzhuvadhumai Theyumunnaley Aazham varai vaazhndhidalam KaadhaliNulley"
"Idhazhin Oram - The Innocence of Love","Idhazhin Oru Oram Sirithai Anbe Nijamaai Ithu Pothum Siripai Anbe En Naadiyai Silirka Vaithaai En Iravellaam Velicham Thanthaai En Aan Garvam Maranthindru Un Munne Paniya Vaithaai wooo woo wooo wooo woooooo wooo woo wooo wooo woooooo Sollu Nee I Love You Nethaan En Kurinji Poo En Kaathal Endrum True Will Make Sure You Never Feel Go.. Oh Ellaam Maranthu Un Pinne Varuven Nee Sammathithaal Naan Nilvaiyum Tharuven Un Nizhal Tharai Padum Thooram Nadandaen Antha Nodiyaithan Kavithayaai Varaiyuven Oh Penne En Kanne, Senthane Vaa Munne En Uyirukkul Peyarai Vaithaai.. En Naadiyai Silirka Vaithaai En Iravellaam Velicham Thanthaai En Aan Garvam Maranthindru"
"Moongil Thottam","Moongil Thottam.. Mooligai Vaasam.. Neranja Vaanam.. Nee Paadum Geetham.. Pournami Iravu.. Pani Vizhum Kaadu.. Othaiyadi Paatha.. Unkuda Podinada.. Ithu Pothum Enaku.. Ithu Pothume.. Vaerenna Venum Nee Pothume.. Ithu Pothum Enaku.. Ithu Pothume.. Vaerenna Venum Nee Pothume.. Moongil Thottam.. Mooligai Vaasam.. Neranja Vaanam.. Nee Paadum Geetham.. Kulathaang Karaiyilae, Kulikkum Paravaiga Siragu Valathume Thuliga Therikume.. Mun Kovam Viduthu, Munthaanai Eduthu Nee Mella Thudaikka, Naa Unna Anaikka Ithu Pothum Enaku.. Ithu Pothume.. Vaerenna Venum Nee Pothume.. Ithu Pothum Enaku.. Ithu Pothume.."
"Dil Ko Karaar Aaya (From 'Sukoon')","Dua bhi lage na mujhe Dawaa bhi lage na mujhe Jabse dil ko mere tu laga hai Neend raaton ki meri Chaahat baaton ki meri Chain ko bhi mere tune yun thaga hai Jab saansein bharu main Band aankhein karoon main Nazar tu yaar aaya Dil ko karaar aaya Tujhpe hai pyaar aaya Pehli pehli baar aaya O yaara... Dil ko karaar aaya Tujhpe hai pyaar aaya Pehli pehli baar aaya O yaara... Aa... Oo... Hmm... Har roz puche yeh hawaayein Hum to bata ke haare Kyun zikr tera karte hai humse taare Har roz puche ye hawaayein Hum to bata ke haare Kyun zikr tera karte hai humse taare"
"Heer Ranjha","​​Je tenu dhoop lagyave ..taa main chaon banjawa. Teri khusiyon ki khatir…main saare jaag se larjawan. Hai meri yahi aarzoo ki..Tera hi main saath du Tera bann ke rahu Sadaa main parchawa Tu meri heer main tera ranjha Karta hoon main tujhse ye vaada Tere bager na koi dooja soniye Tu meri heer main tera ranjha Chahoon tujhe main khudse bhi zyada Main ek pyasa ..tu nir banja soniye Shaam savere mere Khaab bhi tere tere Neendon ki karle choriyaan Lee angdaai tuney Dil pe lagai tuney Chahat ki yeh doriyaan"
"Nenjukkul Peidhidum","Nenjukkul Peithidum Maa Mazhai.. Neerukul Moozhgidum Thaamarai.. Sattendru Maaruthu Vaanilai.. Penne Un Mael Pizhai.. Nillamal Veesidum Peralai.. Nenjukkul Neenthidum Tharagai.. Pon Vannam Soodiya Kaarigai.. Penne Nee Kaanchanai.. Oh Shaanti Shaanti Oh Shaanti En Uyirai Uyirai Nee Aenthi.. Aen Sendrai Sendrai Ennai Thaandi Ini Neethan Enthan Anthathi.. Nenjukkul Peithidum Maa Mazhai.. Neerukul Moozhgidum Thaamarai.. Sattendru Maaruthu Vaanilai.. Penne Un Mael Pizhai.. Aetho Ondru Ennai Eerka.. Mookin Nuni Marmam Saerka.. Kallathanam Aethum Illaa.. Punnagaiyo Boganvillaa.. Nee Nindra Idam Endraal Vilai Aeri Pogaatho Nee Sellum Vazhi Ellam Panikatti Aahaatho Ennodu Vaa Veedu Varaikkum.."
"Private Party (From 'Don')","M: Modern Rathiye.. Unna Pick’up Uh Panidavaa Nadakum Nathiye.. Pudhu Svotaiyum Katedavaa On The Way’il.. Namma Friendsayum Koopidavaa Full Fun Moodil... Oru Dancayum Potodavaa.. M: Jolly Uh Nee Vaadi Ithu Private Party Thaa.. DJ’elam Vechu Seyvom Atrocity Thaa.. F: Jazz’u Music Venam.. Adi Nama Beat’uh Thaa Bouncer Elam Thaandi Varum Little Heart’uh Thaa.. M: Ava Vanthaley.. Love Uh Thanthaley.. Enna Konaley.. Ava Cute Uh’na Dance Aaley.. F: Machanae.. Kadai Vechaney.. Oli thachanae.. Ipo High Voltage Switch Aanea.."